"title","model","condition","yom","mileage","price"
"Subaru Forester 2014 Blue","Forester","Foreign Used","2014",52000,2800000
"Subaru Outback 2015 White","Outback","Foreign Used","2015",69500,3200000
"Subaru Trezia 2014 1.3i Black","Trezia","Foreign Used","2014",84540,1050000
"Subaru Legacy 2011 2.5i White","Legacy","Kenyan Used","2011",125635,1095000
"Subaru XV 2015 White","XV","Foreign Used","2015",89452,1950000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",76315,3000000
"Subaru Outback 2014 Pearl","Outback","Foreign Used","2014",NA,2450000
"Subaru Forester 2007 Silver","Forester","Foreign Used","2007",170000,650000
"Subaru Tribeca 2007 Silver","Tribeca","Kenyan Used","2007",119442,999999
"Subaru Forester 2014 White","Forester","Foreign Used","2014",NA,2450000
"Subaru Forester 2015 Pearl","Forester","Foreign Used","2015",42000,2850000
"New Subaru Forester 2014 Blue","Forester","Brand New","2014",58558,2450000
"Subaru Forester 2014 SV Premium White","Forester","Foreign Used","2014",86000,2650000
"Subaru Outback 2014 Gray","Outback","Foreign Used","2014",84340,3600000
"Subaru Forester 2013 Silver","Forester","Foreign Used","2013",85000,2050000
"Subaru Outback 2015 Silver","Outback","Foreign Used","2015",NA,3200000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",90000,2900000
"Subaru Forester 2000 2.0 S Beige","Forester","Kenyan Used","2000",286220,500000
"Subaru XV 2014 Brown","XV","Foreign Used","2014",86523,2000000
"Subaru Outback 2016 2.5i Limited AWD Red","Outback","Kenyan Used","2016",117000,3350000
"Subaru Levorg 2014 Blue","Levorg","Foreign Used","2014",80000,1900000
"Subaru Forester 2013 White","Forester","Foreign Used","2013",85000,2550000
"Subaru XV 2014 Sport Package White","XV","Foreign Used","2014",63125,1900000
"Subaru Forester 2014","Forester","Foreign Used","2014",70863,2700000
"Subaru Outback 2015 Gold","Outback","Foreign Used","2015",75000,3400000
"Subaru Trezia 2014 Gray","Trezia","Foreign Used","2014",105689,1030000
"Subaru Legacy 2015 Off White","Legacy","Foreign Used","2015",52431,1750000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",85000,1350000
"Subaru XV 2013 Sport Package White","XV","Foreign Used","2013",60000,1850000
"Subaru Outback 2014 Blue","Outback","Foreign Used","2014",51000,2780000
"Subaru Forester 2014 Blue","Forester","Foreign Used","2014",55000,2600000
"Subaru XV 2014 Black","XV","Kenyan Used","2014",107743,1590000
"Subaru Legacy 2014 White","Legacy","Foreign Used","2014",78000,1690000
"Subaru Outback 2010 Black","Outback","Kenyan Used","2010",120358,1350000
"Subaru Forester 2015 Blue","Forester","Foreign Used","2015",66900,2500000
"Subaru Impreza 2014 Blue","Impreza","Foreign Used","2014",NA,2749000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",NA,2500000
"Subaru Outback 2015 Blue","Outback","Foreign Used","2015",73000,3550000
"Subaru Impreza 2014 Blue","Impreza","Foreign Used","2014",136000,1450000
"Subaru Outback 2014 Brown","Outback","Foreign Used","2014",24512,2595000
"Subaru Impreza 2014 Red","Impreza","Foreign Used","2014",1e+05,1400000
"Subaru Legacy 2012 White","Legacy","Kenyan Used","2012",129072,1280000
"Subaru Impreza 2013 Other","Impreza","Foreign Used","2013",NA,1280000
"Subaru Forester 2015 Black","Forester","Foreign Used","2015",52008,2600000
"Subaru Legacy 2011 Gray","Legacy","Kenyan Used","2011",120000,1200000
"Subaru Impreza 2013 2.0i 5-dr Red","Impreza","Kenyan Used","2013",103519,1080000
"Subaru Impreza 2014 Silver","Impreza","Kenyan Used","2014",15000,1480000
"Subaru Forester 2015 Gray","Forester","Foreign Used","2015",70000,2300000
