title,year,condition,mileage,price
Subaru Outback,2015,foreign,104734,3465000
Subaru Legacy,2014,local,93780,1515000
Subaru Legacy,2014,foreign,98475,2515000
Subaru Forester,2015,foreign,100201,3115000
Subaru Outback,2014,foreign,93633,3930000
Subaru Forester,2015,foreign,83465,2830000
Subaru Outback,2015,foreign,55647,3215000
Subaru Impreza,2014,foreign,148609,1465000
Subaru Forester,2013,local,101595,2615000
Subaru Impreza,2009,local,120353,765000
Subaru Forester,2015,foreign,72714,3315000
Subaru Outback,2015,foreign,112194,3315000
Subaru Outback,2015,foreign,87561,3315000
Subaru Outback,2015,foreign,39038,3315000
Subaru Legacy ,2010,local,135633,1130000
Subaru Forester,2014,foreign,85546,2615000
Subaru Outback,2015,foreign,107716,3415000
Subaru Impreza,2015,foreign,108503,1765000
Subaru XT,2013,foreign,109038,2515000
Subaru XT,2016,foreign,68942,3615000
Subaru Impreza,2015,foreign,72991,1765000
Subaru XT,2015,foreign,45039,3565000
Subaru G4,2014,foreign,187079,1415000
Subaru XV,2014,foreign,126711,1830000
Subaru Outback,2014,foreign,89532,3215000
Subaru Forester,2014,foreign,80530,2715000
Subaru Forester,2014,foreign,95500,2615000
Subaru Impreza,2014,foreign,107682,1515000
Subaru Outback,2013,local,122964,2015000
Subaru Legacy,2014,foreign,107275,1795000
Subaru Legacy B4,2014,foreign,138083,2115000
Subaru XV,2014,foreign,110573,2315000
Subaru G4,2014,foreign,117214,1415000
Subaru Impreza,2014,foreign,82048,1515000
Subaru Forester,2015,foreign,86825,3315000
Subaru Forester,2015,foreign,70104,3415000
Subaru Forester,2015,foreign,102224,2915000
Subaru Forester,2014,foreign,76466,2815000
Subaru Forester,2015,foreign,95554,3115000
Subaru Forester,2015,foreign,91863,2815000
Subaru XT,2014,foreign,73060,3415000
Subaru Impreza,2014,foreign,93097,1465000
Subaru XT,2014,local,141641,2115000
Subaru Legacy ,2014,foreign,219414,2015000
Subaru Legacy ,2014,foreign,89024,2415000
Subaru Forester,2014,foreign,136783,2615000
Subaru Outback,2015,foreign,58139,3315000
Subaru Forester,2014,foreign,236933,2765000
Subaru Impreza,2015,foreign,199459,1515000
Subaru Forester,2015,foreign,102625,2915000
Subaru Exiga ,2014,foreign,141790,1865000
Subaru Outback,2015,local,79633,3530000
Subaru Impreza,2014,foreign,74346,1465000
